si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
nabigo 	  bigo 	  na 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pangangaso 	  aso 	  panganga 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
busubuso 	  busubuso 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
inalipusta 	  alipusta 	  in 	  _ 	  _ 	  _ 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pangasuhan 	  aso 	  pang 	  _ 	  han 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pilipinas 	  pilipinas 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
isa 	  isa 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
huling 	  huling 	  _ 	  _ 	  _ 	  _ 	ADVERB
araw 	  araw 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
disyembre 	  disyembre 	  _ 	  _ 	  _ 	  _ 	CONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nakikipaglaro 	  laro 	  nakipag 	  _ 	  _ 	  ki 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
baraha 	  baraha 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
prayle 	  prayle 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

katatapos 	  tapos 	  ka 	  _ 	  _ 	  ta 	VERB
lamang 	  lamang 	  _ 	  _ 	  _ 	  _ 	PART
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
maligo 	  ligo 	  ma 	  _ 	  _ 	  _ 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
naghihintay 	  hintay 	  nag 	  _ 	  _ 	  hi 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
pagkain 	  kain 	  pag 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
kasiyahan 	  siya 	  ka 	  _ 	  han 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nadagdagan 	  dagdag 	  na 	  _ 	  an 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
kasiglahan 	  sigla 	  ka 	  _ 	  han 	  _ 	NOUN
dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
pananalo 	  panalo 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
laro 	  laro 	  _ 	  _ 	  _ 	  _ 	NOUN
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
sinasadya 	  sadya 	  _ 	  in 	  _ 	  sa 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
irene 	  irene 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
sibyla 	  sibyla 	  _ 	  _ 	  _ 	  _ 	PROPN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
lihim 	  lihim 	  _ 	  _ 	  _ 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
pagpapatalo 	  patalo 	  pag 	  _ 	  _ 	  pa 	VERB
samantalang 	  samantalang 	  _ 	  _ 	  _ 	  _ 	SCONJ
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
camorra 	  camorra 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nagngingitngit 	  ngingitngit 	  nag 	  _ 	  _ 	  _ 	ADJ
dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
alam 	  alam 	  _ 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pakanang 	  pakana 	  _ 	  _ 	  ng 	  _ 	NOUN
iyon 	  iyon 	  _ 	  _ 	  _ 	  _ 	PRON
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
mapagsalitaan 	  salita 	  mapag 	  _ 	  an 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
sibyla 	  sibyla 	  _ 	  _ 	  _ 	  _ 	PROPN
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
nagkakamali 	  mali 	  nagka 	  _ 	  _ 	  ka 	VERB
dahil 	  dahil 	  _ 	  _ 	  _ 	  _ 	SCONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
iginagalang 	  galang 	  i 	  in 	  _ 	  ga 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ito 	  ito 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	SCONJ
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
napagbuntuhan 	  buntuhan 	  napag 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
galit 	  galit 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
irene 	  irene 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ipinalalagay 	  lagay 	  ipa 	  in 	  _ 	  la 	VERB
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
mababa 	  baba 	  ma 	  _ 	  _ 	  _ 	ADJ
at 	at 	_ 	_ 	_ 	_ 	CONJ
di-lubhang 	  di-lubha 	  _ 	  _ 	  ng 	  _ 	ADJ
matino 	  tino 	  ma 	  _ 	  _ 	  _ 	ADJ
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
alam 	  alam 	  _ 	  _ 	  _ 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
camorra 	  camorra 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
larong 	  laro 	  _ 	  _ 	  ng 	  _ 	NOUN
yaon 	  yaon 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
nakataya 	  taya 	  naka 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ikauunlad 	  unlad 	  ika 	  _ 	  _ 	  u 	ADJ
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isipan 	  isip 	  _ 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pilipino 	  pilipino 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pagtuturo 	  turo 	  pag 	  _ 	  _ 	  tu 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
wikang 	  wika 	  _ 	  _ 	  ng 	  _ 	NOUN
kastila 	  kastila 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
sapagkat 	sapagkat 	_ 	_ 	_ 	_ 	SCONJ
kung 	  kung 	  _ 	  _ 	  _ 	  _ 	ADVERB
natanto 	  tanto 	  na 	  _ 	  _ 	  _ 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
kaagad 	  agad 	  ka 	  _ 	  _ 	  _ 	ADVERB
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
salang 	  sala 	  _ 	  _ 	  ng 	  _ 	NOUN
malugod 	  lugod 	  ma 	  _ 	  _ 	  _ 	ADJ
din 	  din 	  _ 	  _ 	  _ 	  _ 	PART
siyang 	  siyang 	  _ 	  _ 	  _ 	  _ 	PRON
nakiisa 	  isa 	  naki 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
nagpapatalong 	  talo 	  nagpapa 	  _ 	  ng 	  ta 	ADJ
prayle 	  prayle 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
nakabukas 	  bukas 	  naka 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
sala 	  sala 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
naroon 	  naroon 	  _ 	  _ 	  _ 	  _ 	NOUN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kalihim 	  lihim 	  ka 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
hinaharap 	  harap 	  _ 	  in 	  _ 	  ha 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kasulatan 	  sulat 	  ka 	  _ 	  an 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
hapag 	  hapag 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
heneral 	  heneral 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
masipag 	  sipag 	  ma 	  _ 	  _ 	  _ 	ADJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
kaya 	  kaya 	  _ 	  _ 	  _ 	  _ 	SCONJ
't 	  't 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagitan 	  pagitan 	  _ 	  _ 	  _ 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
paglalaro 	  laro 	  pag 	  _ 	  _ 	  la 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
tinatapos 	  tapos 	  _ 	  in 	  _ 	  ta 	VERB
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
usapin 	  usap 	  _ 	  _ 	  in 	  _ 	NOUN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
dapat 	  dapat 	  _ 	  _ 	  _ 	  _ 	AUX
niyang 	  niyang 	  _ 	  _ 	  _ 	  _ 	PRON
lutasin 	  lutas 	  _ 	  _ 	  in 	  _ 	VERB
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
samantalang 	  samantalang 	  _ 	  _ 	  _ 	  _ 	SCONJ
naghihikab 	  hikab 	  nag 	  _ 	  _ 	  hi 	VERB
at 	at 	_ 	_ 	_ 	_ 	CONJ
nabubugnot 	  bugnot 	  na 	  _ 	  _ 	  bu 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kalihim 	  lihim 	  ka 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

nang 	  nang 	  _ 	  _ 	  _ 	  _ 	ADVERB
umagang 	  umaga 	  _ 	  _ 	  ng 	  _ 	NOUN
yaon 	  yaon 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
natapos 	  tapos 	  na 	  _ 	  _ 	  _ 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
niya 	  niya 	  _ 	  _ 	  _ 	  _ 	PRON
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
ilang 	  ilang 	  _ 	  _ 	  _ 	  _ 	PRON
kasulatan 	  sulat 	  ka 	  _ 	  an 	  _ 	NOUN
ukol 	  ukol 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pagpapalit-palit 	  palit-palit 	  pag 	  _ 	  _ 	  pa 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
kawani 	  kawani 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
pag-aalis 	  alis 	  pag 	  _ 	  _ 	  a 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
katungkulan 	  katungkulan 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
pagpapatapon 	  tapon 	  pagpapa 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
malayong 	  layo 	  ma 	  _ 	  ng 	  _ 	ADJ
lupa 	  lupa 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
pagbibigay 	  bigay 	  pag 	  _ 	  _ 	  bi 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
biyaya 	  biyaya 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
iba 	  iba 	  _ 	  _ 	  _ 	  _ 	CONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ngunit 	  ngunit 	  _ 	  _ 	  _ 	  _ 	SCONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
pa 	  pa 	  _ 	  _ 	  _ 	  _ 	PART
dumarating 	  dating 	  _ 	  um 	  _ 	  da 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tungkol 	  tungkol 	  _ 	  _ 	  _ 	  _ 	CONJ
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
kahilingan 	  hiling 	  ka 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
mga 	  mga 	  _ 	  _ 	  _ 	  _ 	DET
nag-aaral 	  aral 	  nag 	  _ 	  _ 	  a 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
magtayo 	  tayo 	  mag 	  _ 	  _ 	  _ 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
paaralan 	  aral 	  pa 	  _ 	  an 	  _ 	NOUN
ng 	ng 	_ 	_ 	_ 	_ 	ADP
wikang 	  wika 	  _ 	  _ 	  ng 	  _ 	NOUN
kastila 	  kastila 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

samantala 	  samantala 	  _ 	  _ 	  _ 	  _ 	SCONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
nagpapabalik-balik 	  balik-balik 	  nagpa 	  _ 	  _ 	  pa 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
sala 	  sala 	  _ 	  _ 	  _ 	  _ 	NOUN
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
don 	  don 	  _ 	  _ 	  _ 	  _ 	PROPN
custodio 	  custodio 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
isang 	isa 	_ 	_ 	ng 	_ 	ADJ
mataas 	  taas 	  ma 	  _ 	  _ 	  _ 	ADJ
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
kawani 	  kawani 	  _ 	  _ 	  _ 	  _ 	NOUN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
at 	at 	_ 	_ 	_ 	_ 	CONJ
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
pari 	  pari 	  _ 	  _ 	  _ 	  _ 	PROPN
fernandez 	  fernandez 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

buhat 	  buhat 	  _ 	  _ 	  _ 	  _ 	NOUN
naman 	  naman 	  _ 	  _ 	  _ 	  _ 	PART
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
katabing 	  tabi 	  ka 	  _ 	  ng 	  _ 	NOUN
silid 	  silid 	  _ 	  _ 	  _ 	  _ 	NOUN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
makikitang 	  kita 	  ma 	  _ 	  ng 	  ki 	VERB
naglalaro 	  laro 	  nag 	  _ 	  _ 	  la 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bilyar 	  bilyar 	  _ 	  _ 	  _ 	  _ 	NOUN
sina 	  sina 	  _ 	  _ 	  _ 	  _ 	DET
simoun 	  simoun 	  _ 	  _ 	  _ 	  _ 	PROPN
at 	at 	_ 	_ 	_ 	_ 	CONJ
ben 	  ben 	  _ 	  _ 	  _ 	  _ 	PROPN
zayb 	  zayb 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
anu-ano 	  anu-ano 	  _ 	  _ 	  _ 	  _ 	CONJ
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
tumayo 	  tayo 	  _ 	  um 	  _ 	  _ 	VERB
si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
camorra 	  camorra 	  _ 	  _ 	  _ 	  _ 	PROPN
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
ipinukol 	  pukol 	  i 	  in 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
baraha 	  baraha 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
ulo 	  ulo 	  _ 	  _ 	  _ 	  _ 	NOUN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
irene 	  irene 	  _ 	  _ 	  _ 	  _ 	PROPN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pagpapabayang 	  pabaya 	  pag 	  _ 	  ng 	  pa 	NOUN
iyan 	  iyan 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
kundi 	  kundi 	  _ 	  _ 	  _ 	  _ 	SCONJ
man 	  man 	  _ 	  _ 	  _ 	  _ 	PART
ng 	ng 	_ 	_ 	_ 	_ 	ADP
lahat 	  lahat 	  _ 	  _ 	  _ 	  _ 	CONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
sinadya 	  sadya 	  _ 	  in 	  _ 	  _ 	VERB
! 	  ! 	  _ 	  _ 	  _ 	  _ 	PUNC

punyales 	  punyales 	  _ 	  _ 	  _ 	  _ 	INTJ
! 	  ! 	  _ 	  _ 	  _ 	  _ 	PUNC

si 	  si 	  _ 	  _ 	  _ 	  _ 	DET
kristo 	  kristo 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kalabanin 	  kalaban 	  _ 	  _ 	  in 	  _ 	VERB
ninyo 	  ninyo 	  _ 	  _ 	  _ 	  _ 	PRON
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
at 	at 	_ 	_ 	_ 	_ 	CONJ
bumubulong 	  bulong 	  um 	  _ 	  _ 	  bu 	VERB
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
tumungo 	  tumungo 	  _ 	  _ 	  _ 	  _ 	VERB
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
bilyaran 	  bilyar 	  _ 	  _ 	  an 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
pinakinggan 	  kinig 	  pa 	  in 	  gan 	  _ 	ADJ
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
pagpapaliwanag 	  liwanag 	  pagpapa 	  _ 	  _ 	  _ 	NOUN
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
irene 	  irene 	  _ 	  _ 	  _ 	  _ 	PROPN
na 	  na 	  _ 	  _ 	  _ 	  _ 	CONJ
noo 	  noo 	  _ 	  _ 	  _ 	  _ 	ADVERB
'y 	  'y 	  _ 	  _ 	  _ 	  _ 	X
nagtatakip 	  takip 	  nag 	  _ 	  _ 	  ta 	VERB
ng 	ng 	_ 	_ 	_ 	_ 	ADP
bibig 	  big 	  _ 	  _ 	  _ 	  bi 	NOUN
upang 	upang 	_ 	_ 	_ 	_ 	SCONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
ipahalata 	  halata 	  ipa 	  _ 	  _ 	  _ 	VERB
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
pagtawa 	  tawa 	  pag 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

isinungaw 	  sungaw 	  i 	  in 	  _ 	  _ 	VERB
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
simoun 	  simoun 	  _ 	  _ 	  _ 	  _ 	PROPN
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
kanyang 	  kanya 	  _ 	  _ 	  ng 	  _ 	DET
ulo 	  ulo 	  _ 	  _ 	  _ 	  _ 	NOUN
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
pintuan 	  pinto 	  _ 	  _ 	  an 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ibig 	  ibig 	  _ 	  _ 	  _ 	  _ 	AUX
ba 	  ba 	  _ 	  _ 	  _ 	  _ 	PART
ninyong 	  ninyong 	  _ 	  _ 	  _ 	  _ 	PRON
pumalit 	  palit 	  _ 	  um 	  _ 	  _ 	VERB
kay 	  kay 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
camorra 	  camorra 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
g. 	  g. 	  _ 	  _ 	  _ 	  _ 	CONJ
simoun 	  simoun 	  _ 	  _ 	  _ 	  _ 	PROPN
? 	  ? 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tanong 	  tanong 	  _ 	  _ 	  _ 	  _ 	CONJ
ni 	  ni 	  _ 	  _ 	  _ 	  _ 	DET
padre 	  padre 	  _ 	  _ 	  _ 	  _ 	PROPN
irene 	  irene 	  _ 	  _ 	  _ 	  _ 	PROPN
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
itataya 	  taya 	  i 	  _ 	  _ 	  ta 	VERB
ninyo 	  ninyo 	  _ 	  _ 	  _ 	  _ 	PRON
ay 	  ay 	  _ 	  _ 	  _ 	  _ 	X
brilyante 	  brilyante 	  _ 	  _ 	  _ 	  _ 	NOUN
at 	at 	_ 	_ 	_ 	_ 	CONJ
hindi 	  hindi 	  _ 	  _ 	  _ 	  _ 	ADVERB
salapi 	  salapi 	  _ 	  _ 	  _ 	  _ 	NOUN
. 	  . 	  _ 	  _ 	  _ 	  _ 	PUNC

" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
walang 	  wala 	  _ 	  _ 	  ng 	  _ 	ADVERB
kailangan 	  kailangan 	  _ 	  _ 	  _ 	  _ 	AUX
sa 	  sa 	  _ 	  _ 	  _ 	  _ 	ADP
akin 	  akin 	  _ 	  _ 	  _ 	  _ 	DET
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
gayon 	  gayon 	  _ 	  _ 	  _ 	  _ 	CONJ
, 	  , 	  _ 	  _ 	  _ 	  _ 	PUNC
" 	  " 	  _ 	  _ 	  _ 	  _ 	SYM
ang 	  ang 	  _ 	  _ 	  _ 	  _ 	DET
tugon 	  tugon 	  _ 	  _ 	  _ 	  _ 	CONJ
